"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"000020","동화약품","KOSPI","6180","172616484600.0","20250314","991.0","","13413.0","180.0","보통주"
"000040","KR모터스","KOSPI","396","23812615728.0","20250314","","","618.0","0.0","보통주"
"000050","경방","KOSPI","6580","180392476600.0","20250314","","","29623.0","125.0","보통주"
"000070","삼양홀딩스","KOSPI","60300","516425541300.0","20250314","22269.0","","257475.0","3500.0","보통주"
"000075","삼양홀딩스우","KOSPI","59400","18061045200.0","20250314","","","","3550.0","우선주"
"000080","하이트진로","KOSPI","19270","1351474683970.0","20250314","512.0","1857.0","15694.0","950.0","보통주"
"000087","하이트진로2우B","KOSPI","15200","17178097600.0","20250314","","","","1000.0","우선주"
"000100","유한양행","KOSPI","124800","10010091187200.0","20250314","1815.0","1973.0","27491.0","450.0","보통주"
"000105","유한양행우","KOSPI","109500","129312930000.0","20250314","","","","460.0","우선주"
"000120","CJ대한통운","KOSPI","90400","2062235897600.0","20250314","10357.0","13257.0","180690.0","500.0","보통주"
"000140","하이트진로홀딩스","KOSPI","8530","197953705450.0","20250314","41.0","","24228.0","550.0","보통주"
"000145","하이트진로홀딩스우","KOSPI","10180","4792845800.0","20250314","","","","600.0","우선주"
"000150","두산","KOSPI","342000","5651151570000.0","20250314","","10167.0","91241.0","2000.0","보통주"
"000155","두산우","KOSPI","152300","608661162600.0","20250314","","","","2050.0","우선주"
"000157","두산2우B","KOSPI","139000","124132282000.0","20250314","","","","2000.0","우선주"
"000180","성창기업지주","KOSPI","1303","90886334800.0","20250314","","","9003.0","0.0","보통주"
"000210","DL","KOSPI","35000","733455940000.0","20250314","","3186.0","169901.0","1000.0","보통주"
"000215","DL우","KOSPI","19300","32542019500.0","20250314","","","","1050.0","우선주"
"000220","유유제약","KOSPI","4420","75282991420.0","20250314","","","5976.0","0.0","보통주"
"000225","유유제약1우","KOSPI","4795","10869929350.0","20250314","","","","0.0","우선주"
"000227","유유제약2우B","KOSPI","9590","3122120400.0","20250314","","","","0.0","우선주"
"000230","일동홀딩스","KOSPI","6140","70858056000.0","20250314","","","3450.0","100.0","보통주"
"000240","한국앤컴퍼니","KOSPI","16110","1529406716400.0","20250314","1975.0","5496.0","42407.0","700.0","보통주"
"000250","삼천당제약","KOSDAQ","191400","4489760140800.0","20250314","","","9689.0","0.0","보통주"
"000270","기아","KOSPI","99500","39568426884000.0","20250314","22168.0","25839.0","117495.0","5600.0","보통주"
"000300","DH오토넥스","KOSPI","1984","161600154944.0","20250314","","","","0.0","보통주"
"000320","노루홀딩스","KOSPI","14030","186474848530.0","20250314","2429.0","","39422.0","500.0","보통주"
"000325","노루홀딩스우","KOSPI","28000","6819652000.0","20250314","","","","505.0","우선주"
"000370","한화손해보험","KOSPI","4105","479213246075.0","20250314","1465.0","2443.0","20905.0","200.0","보통주"
"000390","삼화페인트","KOSPI","6220","169205577180.0","20250314","685.0","","13069.0","400.0","보통주"
"000400","롯데손해보험","KOSPI","1839","570708492480.0","20250314","966.0","","4064.0","0.0","보통주"
"000430","대원강업","KOSPI","3655","226610000000.0","20250314","494.0","","8211.0","110.0","보통주"
"000440","중앙에너비스","KOSDAQ","13980","87055277400.0","20250314","","","12862.0","320.0","보통주"
"000480","CR홀딩스","KOSPI","5310","248988501900.0","20250314","14.0","","14318.0","410.0","보통주"
"000490","대동","KOSPI","12200","312817613600.0","20250314","794.0","","19071.0","100.0","보통주"
"000500","가온전선","KOSPI","53900","891673898500.0","20250314","2907.0","3623.0","46434.0","0.0","보통주"
"000520","삼일제약","KOSPI","12330","267460029630.0","20250314","116.0","","8838.0","0.0","보통주"
"000540","흥국화재","KOSPI","3265","209752235925.0","20250314","4664.0","","20881.0","0.0","보통주"
